County,area_km,population,gdp,pred_co2,CO2perGDP,CO2perCapita,CO2perArea,Gas,Electricity,Waste,Water,Vehicles,bad_veh,good_veh,good_bad_ratio,Eco
Alameda,2135.8425,1669301,146210749000,39929017.55,0.000273092,23.91960321,18694.73875,384.150529,10684.08587,1465263.51,168.74,1153322,1008673,144649,0.143405246,1
Alpine,1882.1303,1162,133889000,73689.46387,0.000550377,63.41606185,39.15215852,NA,18.906214,566.18,0.1,1559,1438,121,0.084144645,0
Amador,1555.9289,38294,2067676000,778554.4246,0.000376536,20.33097677,500.3791784,7.22473,317.885054,35768.39,8.64,39307,36149,3158,0.087360646,0
Butte,4310.5185,226466,11314675000,3748882.989,0.000331329,16.55384468,869.7058113,39.225366,1396.246344,1818063.23,28.81,154935,140166,14769,0.105367921,0
Calaveras,2682.1004,45117,1879126000,704411.2462,0.000374861,15.61298948,262.6341826,0.96295,330.55907,35660.9,6.59,50942,46794,4148,0.088643843,0
Colusa,2992.7684,22117,1678303000,697370.301,0.000415521,31.53096265,233.0184658,31.46575,285.48514,23744.31,2.46,18831,16575,2256,0.136108597,1
Contra Costa,2065.9422,1155879,80217242000,22390070.96,0.000279118,19.37060104,10837.70444,1205.045221,9639.409434,794518.98,139.97,880749,781139,99610,0.127518918,1
Del Norte,2596.6667,27401,983181000,383048.6835,0.000389601,13.97936876,147.5155373,NA,210.25367,88.71,2.4,19076,17489,1587,0.090742753,0
El Dorado,4672.9645,191848,9302830000,3137945.79,0.000337311,16.35641649,671.5107273,34.914401,1227.890625,121490.25,27.8,166336,150923,15413,0.102124925,0
Fresno,15528.2222,1018241,50736641000,15420042.29,0.000303923,15.14380416,993.0333358,352.19224,7387.264573,964982.11,157.08,662298,602845,59453,0.098620707,0
Glenn,3414.7591,29132,1367264000,543371.4852,0.000397415,18.65204878,159.1243977,8.683947,394.097988,81573.78,2.55,24463,22018,2445,0.111045508,1
Humboldt,9320.04,135333,6906095000,2489745.698,0.000360514,18.39718101,267.1389498,31.810605,791.364172,23039.6,11.49,108771,98286,10485,0.106678469,1
Imperial,11903.7622,190266,9334680000,3286951.137,0.000352123,17.27555705,276.1270833,42.914053,1415.790908,135092.23,24.47,157462,146661,10801,0.073646027,0
Inyo,26140.1233,18593,1435942000,668601.2239,0.000465619,35.95983563,25.57758493,NA,208.606317,18035.53,2.42,18568,17117,1451,0.084769527,0
Kern,21151.313,916464,50261412000,15718890.59,0.000312743,17.15167272,743.1638211,2417.102103,17105.08239,1086243.73,168.87,580457,526180,54277,0.103152913,0
Kings,3717.6604,153710,7163683000,2438102.976,0.000340342,15.86170695,655.816485,69.152009,1583.071346,115397.98,29.07,90797,81450,9347,0.11475752,1
Lake,3435.4703,65071,2532409000,923743.9806,0.000364769,14.19593952,268.8842866,NA,446.071293,53244.27,2.93,62238,57341,4897,0.085401371,0
Lassen,12141.941,30150,1441448000,604692.6016,0.000419504,20.05613936,49.80197166,2.273261,403.756483,22338.23,3.8,21827,19947,1880,0.094249762,0
Los Angeles,10560.1231,10253716,819446415000,201186077.7,0.000245515,19.62079676,19051.48982,3048.320959,66118.673,11141950.72,1256.44,6968814,6314176,654638,0.103677503,0
Madera,5558.3683,159536,7071620000,2435400.94,0.000344391,15.2655259,438.1503363,57.067607,1568.007913,158630.22,15.63,106513,96718,9795,0.101273806,0
Marin,1522.2732,262879,27489610000,8897935.605,0.000323684,33.84802744,5845.163408,70.290539,1355.342745,241254.45,28.19,209067,180437,28630,0.158670339,1
Mariposa,3782.3829,18068,1000996000,421737.0403,0.000421317,23.34165598,111.5003561,NA,109.731056,27390.23,0.68,18667,17238,1429,0.082898248,0
Mendocino,9087.039,89009,4475367000,1676002.693,0.000374495,18.82958682,184.4388137,10.380061,562.262881,48914.65,8.83,82962,75437,7525,0.099752111,0
Merced,5198.5112,282928,10922271000,3526519.78,0.000322874,12.46437178,678.3711036,120.161538,3698.606433,277454.07,50.17,187338,171138,16200,0.094660449,0
Modoc,11235.826,9602,473141000,220917.6862,0.000466917,23.00746576,19.66189991,NA,145.174152,11537.13,0.6,7817,7150,667,0.093286713,0
Mono,8033.3567,13616,1347957000,621194.0629,0.000460841,45.62236067,77.32683685,NA,205.216773,27669.37,1.98,11969,11118,851,0.076542544,0
Monterey,8605.5036,445414,29455388000,9570188.476,0.000324905,21.48605225,1112.100921,114.999082,2470.652329,516537.48,38.23,323138,293433,29705,0.101232649,0
Napa,2063.3533,140779,11816527000,4069326.795,0.000344376,28.90577995,1972.190994,39.7276,1042.999221,180694.75,15.28,114209,101835,12374,0.121510286,1
Nevada,2568.1888,98904,5181790000,1819910.398,0.000351213,18.40077649,708.6357506,21.323491,712.541032,9022.35,11.44,90892,83102,7790,0.093740223,0
Orange,2032.2865,3222498,269229776000,68742468.4,0.00025533,21.33204377,33825.18577,623.146364,19459.50854,3373309.25,457.54,2421151,2170279,250872,0.115594354,1
Placer,3901.4723,396691,24708238000,7812663.192,0.000316197,19.6945814,2002.491006,95.925218,2914.872353,281556.39,54.07,328031,292939,35092,0.119792858,1
Plumas,6777.7402,19779,1461490000,635657.733,0.000434938,32.13801168,93.78608714,NA,210.488311,173.99,2.15,20781,19347,1434,0.074120019,0
Riverside,18751.4027,2440124,95533449000,26615388.5,0.000278598,10.9073918,1419.381202,452.99209,15520.12979,2515629.02,440.73,1705315,1554293,151022,0.097164434,0
Sacramento,2627.7335,1546174,102787696000,28144878.66,0.000273816,18.20291808,10710.70512,311.789941,10828.21714,1406241.62,231.29,1090811,986345,104466,0.105912232,1
San Benito,3616.6933,62296,2662858000,982227.2989,0.000368862,15.7671006,271.581585,15.699838,379.87042,88184.37,5.24,51546,45901,5645,0.12298207,1
San Bernardino,52202.5796,2192203,104106853000,30966323.4,0.000297448,14.12566418,593.1952719,547.272263,14987.21032,1978070.48,337.7,1524879,1401153,123726,0.08830299,0
San Diego,11083.0809,3351786,253117792000,69081325.42,0.000272922,20.61030311,6233.043505,533.912231,19047.67417,3200806.27,408.82,2497425,2255459,241966,0.107280159,1
San Francisco,235.5899,883869,203486742000,56192679.06,0.000276149,63.57580033,238519.0497,229.478917,5603.604207,713009.58,67.54,421156,363392,57764,0.15895782,1
San Joaquin,3717.6604,770385,34339849000,10001162.41,0.000291241,12.98203159,2690.176437,259.375883,5583.337799,880241.79,93.39,536857,486376,50481,0.103790072,0
San Luis Obispo,8610.6814,280393,19065947000,6483107.653,0.000340036,23.12150322,752.9145897,89.726514,1707.385625,288432.48,29.1,225899,200167,25732,0.128552659,1
San Mateo,1374.7059,774485,134541113000,40122645.32,0.000298218,51.8055809,29186.34838,214.429843,4325.279371,623371.35,68.39,668504,584740,83764,0.143249991,1
Santa Barbara,7106.5305,454593,31348798000,10100680.06,0.000322203,22.21917201,1421.323677,137.30909,2757.613073,435073.91,49.94,326936,295206,31730,0.107484265,1
Santa Clara,3406.9924,1954286,331938134000,94262264,0.000283975,48.23360757,27667.29506,459.720764,16664.46057,1452222.43,194.59,1462308,1271047,191261,0.150475159,1
Santa Cruz,1139.116,274871,16467676000,5094883.614,0.000309387,18.53554436,4472.664429,53.001479,1200.684246,234708.67,18.45,211348,187391,23957,0.127844987,1
Shasta,9967.265,178773,9783798000,3457301.664,0.00035337,19.33905939,346.865631,35.33719,1535.590927,200160.07,33.47,142923,129441,13482,0.104155561,0
Sierra,2482.7551,3213,132100000,63432.97544,0.000480189,19.74260051,25.54942912,NA,21.994344,15.34,0.37,3442,3229,213,0.065964695,0
Siskiyou,16356.6702,44584,2147001000,879623.7476,0.000409699,19.72958343,53.77767827,NA,495.641195,951.74,4.61,42122,39090,3032,0.077564595,0
Solano,2257.5208,441307,26035209000,7931456.755,0.000304643,17.97265114,3513.348251,236.122955,3226.597752,437553.11,52.18,343431,310088,33343,0.107527541,1
Sonoma,4137.0622,500675,33339740000,10372417.07,0.000311113,20.71686637,2507.19389,110.980407,2880.398809,472841.01,40.49,410628,362062,48566,0.134137247,1
Stanislaus,3937.7169,558972,26471782000,7993603.835,0.000301967,14.30054428,2030.009784,195.126926,4750.062635,365579.18,80.48,395713,359163,36550,0.10176438,0
Sutter,1571.4623,97490,4251128000,1449336.829,0.00034093,14.86651789,922.2854592,21.020908,632.089399,NA,13.61,74077,66827,7250,0.108489084,1
Tehama,7704.5664,64387,2562777000,971093.5177,0.000378922,15.08213642,126.0412939,10.822014,507.736248,66278.44,5.26,49185,44296,4889,0.11037114,1
Trinity,8344.0247,13688,534617000,235389.0325,0.000440295,17.19674405,28.21049086,0.051224,135.048361,8752.43,0.99,12024,11170,854,0.07645479,0
Tulare,12540.6316,479112,20705405000,6649694.586,0.000321157,13.87920692,530.251968,155.379677,4162.198178,446633.6,70.33,312578,284959,27619,0.096922715,0
Tuolumne,5936.3477,54590,3261986000,1266784.836,0.000388348,23.20543755,213.3946494,NA,452.64424,46559.93,5.47,53865,49717,4148,0.083432226,0
Ventura,4825.7096,856598,54760484000,16264816.14,0.000297017,18.98768867,3370.450667,186.508888,5344.035137,1003051.31,130.02,672542,607224,65318,0.107568212,1
Yolo,2676.9226,222581,16533188000,5480169.066,0.000331465,24.62101018,2047.189958,62.018677,1720.746289,192255.23,26.91,145597,128093,17504,0.136650715,1
Yuba,1654.3071,77916,3836625000,1347521.147,0.000351226,17.29453703,814.553203,11.670146,511.726005,169463.51,8.95,53943,49195,4748,0.096513873,0